LAMMPS data file via write_data.

510 atoms
2 atom types

0. 19.45 xlo xhi
0. 19.45 ylo yhi
0. 19.45 zlo zhi

Masses

1 106.4
2 1.0079

Atoms # atomic

1 1 0. 0. 0.
2 1 1.945 1.945 0.
101 1 0. 0. 3.89
102 1 1.945 1.945 3.89
201 1 0. 0. 7.78
202 1 1.945 1.945 7.78
21 1 0. 3.89 0.
22 1 1.945 5.835 0.
121 1 0. 3.89 3.89
122 1 1.945 5.835 3.89
221 1 0. 3.89 7.78
222 1 1.945 5.835 7.78
41 1 0. 7.78 0.
42 1 1.945 9.725 0.
141 1 0. 7.78 3.89
142 1 1.945 9.725 3.89
241 1 0. 7.78 7.78
242 1 1.945 9.725 7.78
61 1 0. 11.67 0.
62 1 1.945 13.615 0.
161 1 0. 11.67 3.89
162 1 1.945 13.615 3.89
261 1 0. 11.67 7.78
262 1 1.945 13.615 7.78
81 1 0. 15.56 0.
82 1 1.945 17.505 0.
181 1 0. 15.56 3.89
182 1 1.945 17.505 3.89
281 1 0. 15.56 7.78
282 1 1.945 17.505 7.78
5 1 3.89 0. 0.
6 1 5.835 1.945 0.
105 1 3.89 0. 3.89
106 1 5.835 1.945 3.89
205 1 3.89 0. 7.78
206 1 5.835 1.945 7.78
25 1 3.89 3.89 0.
26 1 5.835 5.835 0.
125 1 3.89 3.89 3.89
126 1 5.835 5.835 3.89
225 1 3.89 3.89 7.78
226 1 5.835 5.835 7.78
45 1 3.89 7.78 0.
46 1 5.835 9.725 0.
145 1 3.89 7.78 3.89
146 1 5.835 9.725 3.89
245 1 3.89 7.78 7.78
246 1 5.835 9.725 7.78
65 1 3.89 11.67 0.
66 1 5.835 13.615 0.
165 1 3.89 11.67 3.89
166 1 5.835 13.615 3.89
265 1 3.89 11.67 7.78
266 1 5.835 13.615 7.78
85 1 3.89 15.56 0.
86 1 5.835 17.505 0.
185 1 3.89 15.56 3.89
186 1 5.835 17.505 3.89
285 1 3.89 15.56 7.78
286 1 5.835 17.505 7.78
9 1 7.78 0. 0.
10 1 9.725 1.945 0.
109 1 7.78 0. 3.89
110 1 9.725 1.945 3.89
209 1 7.78 0. 7.78
210 1 9.725 1.945 7.78
29 1 7.78 3.89 0.
30 1 9.725 5.835 0.
129 1 7.78 3.89 3.89
130 1 9.725 5.835 3.89
229 1 7.78 3.89 7.78
230 1 9.725 5.835 7.78
49 1 7.78 7.78 0.
50 1 9.725 9.725 0.
149 1 7.78 7.78 3.89
150 1 9.725 9.725 3.89
249 1 7.78 7.78 7.78
250 1 9.725 9.725 7.78
69 1 7.78 11.67 0.
70 1 9.725 13.615 0.
169 1 7.78 11.67 3.89
170 1 9.725 13.615 3.89
269 1 7.78 11.67 7.78
270 1 9.725 13.615 7.78
89 1 7.78 15.56 0.
90 1 9.725 17.505 0.
189 1 7.78 15.56 3.89
190 1 9.725 17.505 3.89
289 1 7.78 15.56 7.78
290 1 9.725 17.505 7.78
13 1 11.67 0. 0.
14 1 13.615 1.945 0.
113 1 11.67 0. 3.89
114 1 13.615 1.945 3.89
213 1 11.67 0. 7.78
214 1 13.615 1.945 7.78
33 1 11.67 3.89 0.
34 1 13.615 5.835 0.
133 1 11.67 3.89 3.89
134 1 13.615 5.835 3.89
233 1 11.67 3.89 7.78
234 1 13.615 5.835 7.78
53 1 11.67 7.78 0.
54 1 13.615 9.725 0.
153 1 11.67 7.78 3.89
154 1 13.615 9.725 3.89
253 1 11.67 7.78 7.78
254 1 13.615 9.725 7.78
73 1 11.67 11.67 0.
74 1 13.615 13.615 0.
173 1 11.67 11.67 3.89
174 1 13.615 13.615 3.89
273 1 11.67 11.67 7.78
274 1 13.615 13.615 7.78
93 1 11.67 15.56 0.
94 1 13.615 17.505 0.
193 1 11.67 15.56 3.89
194 1 13.615 17.505 3.89
293 1 11.67 15.56 7.78
294 1 13.615 17.505 7.78
17 1 15.56 0. 0.
18 1 17.505 1.945 0.
117 1 15.56 0. 3.89
118 1 17.505 1.945 3.89
217 1 15.56 0. 7.78
218 1 17.505 1.945 7.78
37 1 15.56 3.89 0.
38 1 17.505 5.835 0.
137 1 15.56 3.89 3.89
138 1 17.505 5.835 3.89
237 1 15.56 3.89 7.78
238 1 17.505 5.835 7.78
57 1 15.56 7.78 0.
58 1 17.505 9.725 0.
157 1 15.56 7.78 3.89
158 1 17.505 9.725 3.89
257 1 15.56 7.78 7.78
258 1 17.505 9.725 7.78
77 1 15.56 11.67 0.
78 1 17.505 13.615 0.
177 1 15.56 11.67 3.89
178 1 17.505 13.615 3.89
277 1 15.56 11.67 7.78
278 1 17.505 13.615 7.78
97 1 15.56 15.56 0.
98 1 17.505 17.505 0.
197 1 15.56 15.56 3.89
198 1 17.505 17.505 3.89
297 1 15.56 15.56 7.78
298 1 17.505 17.505 7.78
3 1 1.945 0. 1.945
4 1 0. 1.945 1.945
103 1 1.945 0. 5.835
104 1 0. 1.945 5.835
23 1 1.945 3.89 1.945
24 1 0. 5.835 1.945
123 1 1.945 3.89 5.835
124 1 0. 5.835 5.835
43 1 1.945 7.78 1.945
44 1 0. 9.725 1.945
143 1 1.945 7.78 5.835
144 1 0. 9.725 5.835
63 1 1.945 11.67 1.945
64 1 0. 13.615 1.945
163 1 1.945 11.67 5.835
164 1 0. 13.615 5.835
83 1 1.945 15.56 1.945
84 1 0. 17.505 1.945
183 1 1.945 15.56 5.835
184 1 0. 17.505 5.835
7 1 5.835 0. 1.945
8 1 3.89 1.945 1.945
107 1 5.835 0. 5.835
108 1 3.89 1.945 5.835
27 1 5.835 3.89 1.945
28 1 3.89 5.835 1.945
127 1 5.835 3.89 5.835
128 1 3.89 5.835 5.835
47 1 5.835 7.78 1.945
48 1 3.89 9.725 1.945
147 1 5.835 7.78 5.835
148 1 3.89 9.725 5.835
67 1 5.835 11.67 1.945
68 1 3.89 13.615 1.945
167 1 5.835 11.67 5.835
168 1 3.89 13.615 5.835
87 1 5.835 15.56 1.945
88 1 3.89 17.505 1.945
187 1 5.835 15.56 5.835
188 1 3.89 17.505 5.835
11 1 9.725 0. 1.945
12 1 7.78 1.945 1.945
111 1 9.725 0. 5.835
112 1 7.78 1.945 5.835
31 1 9.725 3.89 1.945
32 1 7.78 5.835 1.945
131 1 9.725 3.89 5.835
132 1 7.78 5.835 5.835
51 1 9.725 7.78 1.945
52 1 7.78 9.725 1.945
151 1 9.725 7.78 5.835
152 1 7.78 9.725 5.835
71 1 9.725 11.67 1.945
72 1 7.78 13.615 1.945
171 1 9.725 11.67 5.835
172 1 7.78 13.615 5.835
91 1 9.725 15.56 1.945
92 1 7.78 17.505 1.945
191 1 9.725 15.56 5.835
192 1 7.78 17.505 5.835
15 1 13.615 0. 1.945
16 1 11.67 1.945 1.945
115 1 13.615 0. 5.835
116 1 11.67 1.945 5.835
35 1 13.615 3.89 1.945
36 1 11.67 5.835 1.945
